UNIT,STORE,PROOF_NO,TYPE_OF_PROOF,SAMPLE_SIZE,TYPE_OF_TEST,TEST_PARAM,GT_PASS_CONDITION,EQ_PASS_CONDITION,LS_PASS_CONDITION,GT_REJECT_CONDITION,EQ_REJECT_CONDITION,LS_REJECT_CONDITION,GT_REPROOF_CONDITION,EQ_REPROOF_CONDITION,LS_REPROOF_CONDITION,GT_DOUBLE_REPROOF_CONDITION,EQ_DOUBLE_REPROOF_CONDITION,LS_DOUBLE_REPROOF_CONDITION,DATA_ENTRY,GT_INVESTIGATION,EQ_INVESTIGATION,LS_INVESTIGATION
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Checking of resistance against jolting,Sustaining of samples,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Sensitivity to piercing at upper limit (5cm) after jolting test.,Functioning of Detonator,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Sensitivity to piercing at lower limit(0.5cm),No Ignition at lower limit,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,First Proof,STATIC,100,Sensitivity to piercing at upper limit(5cm) after holding in the desiccators,Burning of igniting primers,99,99,,2,,,,2,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,Reproof,STATIC,100,Sensitivity to piercing at upper limit(5cm) after jolting test.,Functioning of Detonator,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,Reproof,STATIC,100,Sensitivity to piercing at lower limit(0.5cm),No Ignition at lower limit,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 MG 8,Reproof,STATIC,100,Sensitivity to piercing at upper limit(5cm) after holding in the desiccators,Burning of igniting primers,,100,,1,1,,,,,,,,0,,,
U-03,Cap 78mg QFGG,First Proof,STATIC,20,Functioning Proof,Functioning of Cap,,20,,1,,,,,,,1,,0,,,
U-03,Cap 78mg QFGG,First Proof,STATIC,10,Drop test(from every 10th lot),Sustaining of samples,,10,,1,,,,,,,1,,0,,,
U-03,Cap 78mg QFGG,Double Reproof,STATIC,40,Functioning Proof ,Functioning of Cap,,40,,1,1,,,,,,,,0,,,
U-03,Cap 78mg QFGG,Double Reproof,STATIC,20,Drop test(  from every 10th lot),Sustaining of samples,,20,,1,1,,,,,,,,0,,,
U-03,Cap Complete for Primary Cartg. for Mortar Bomb 51mm (3G CAP),First Proof,STATIC,8,Drop Test,Sustaining of samples,,8,,1,1,,,,,,,,0,,,
U-03,Cap Complete for Primary Cartg. for Mortar Bomb 51mm (3G CAP),First Proof,STATIC,13,Sensitivity test,Functioning of Cap,,13,,1,1,,,1,,,,,0,,,
U-03,Cap Complete for Primary Cartg. for Mortar Bomb 51mm (3G CAP),Reproof,STATIC,13,Sensitivity test,Functioning of Cap,,13,,1,1,,,,,,,,0,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,32,Firing test,Functioning (Firing) of Cap,,32,,1,1,,,,,,,,0,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,8,Delay Proof ,Delay time (in µ Sec),,3000,3000,3000,,,,,,,,,8,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,8,Delay Proof ,Mean (in µ Sec),,2000,2000,2000,,,,,,,,,8,,,
U-03,Cap Conducting Composition ,First Proof,STATIC,32,Rough Usage (Drop test),Sustaining of samples,,32,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Impact test,Sustaining of samples,,40,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Jolt test,Sustaining of samples,,40,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Initiation test (after impact test),Detonation & Piercing,,40,,2,,,,1,,,2,,0,,,
U-03,Primer Detonator A-30-T ,First Proof,STATIC,40,Initiation test (after jolt test),Detonation & Piercing,,40,,2,,,,1,,,2,,0,,,
U-03,Primer Detonator A-30-T ,Reproof,STATIC,40,Initiation test (after impact/Jolt  test whereever single defect observed),Detonation & Piercing,,40,,1,1,,,,,,,,0,,,
U-03,Primer Detonator A-30-T ,Double Reproof,STATIC ,80,Initiation test (after impact/Jolt  test whereever double defect observed),Detonation & Piercing,,80,,1,1,,,,,,,,0,,,
U-03,Charged Electric Fuze ,First Proof,STATIC,8,Resistance Test ,Resistance in ohm,1,1,3.6,,,1,3.6,,,,,,8,,,
U-03,Charged Electric Fuze ,First Proof,STATIC,8,Resistance Test ,Resistance in ohm,1,3.6,3.6,,,1,3.6,,,,,,8,,,
U-03,Charged Electric Fuze ,First Proof,STATIC,8,Functioning delay test ,Delay Time in µ Sec,,4000,4000,4000,,,,,,,,,8,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Jolt Test,Sustaining of samples,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing from upper limit (after jolt test),Function along with piercing of bottom ,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing from lower limit ,Non functioning of Detonator,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Impact Test,Sustaining of samples,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing from upper limit (after impact test),Function along with piercing of bottom ,99,99,,2,,,,2,,,,,0,,,
U-03,Igniting Primer KB-3B ,First Proof,STATIC,100,Sensitivity to piercing with Duralumin pin,Function along with piercing of bottom ,99,99,,,,,,,,,2,,0,,,
U-03,Igniting Primer KB-3B ,Reproof,STATIC,100,Sensitivity to piercing from upper limit (after jolt test),Function along with piercing of bottom ,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,Reproof,STATIC,100,Sensitivity to piercing from lower limit ,Non functioning of Detonator,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,Reproof,STATIC,100,Sensitivity to piercing from upper limit (after impact test),Function along with piercing of bottom ,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer KB-3B ,Double Reproof,STATIC,200,Sensitivity to piercing with Duralumin pin,Function along with piercing of bottom ,,200,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 Sleeve ,First Proof,STATIC,100,Sensitivity to impact at upper limit,Ignition,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer NO : .1 Sleeve ,First Proof,STATIC,100,Sensitivity to impact at lower limit,No Ignition,,100,,1,,,,1,,,,,0,,,
U-03,Igniting Primer NO : .1 Sleeve ,First Proof,STATIC,100,Jolt test,Sustaining of samples,,100,,1,1,,1,1,,,,,0,,,
U-03,Igniting Primer NO : .1 Sleeve ,First Proof,STATIC,100,Sensitivity to impact at upper limit in 100% humid condition,Ignition,,100,,,,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 Sleeve ,Reproof,STATIC,300,Sensitivity to impact at upper limit,Ignition,,300,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 Sleeve ,Reproof,STATIC,100,Sensitivity to impact at lower limit,No Ignition,,100,,1,1,,,,,,,,0,,,
U-03,Igniting Primer NO : .1 Sleeve ,Reproof,STATIC,100,Sensitivity to impact at upper limit in 100% humid condition,Ignition,,10,,1,1,,,,,,,,0,,,
U-03,Detonator 135mg LZY ,First Proof,STATIC,20,Drop test ,Sustaining of samples,,20,,1,1,,,,,,,,0,,,
U-03,Detonator 135mg LZY ,First Proof,STATIC,13,Sensitivity test,Functioning,,13,,1,,,,1,,,,,0,,,
U-03,Detonator 135mg LZY ,Reproof,STATIC,13,Sensitivity test,Functioning,,13,,1,1,,,,,,,,0,,,
U-03,Detonator 356mg LZ ,First Proof,STATIC,20,Drop test ,Sustaining of samples,,20,,1,1,,,,,,,,0,,,
U-03,Detonator 356mg LZ ,First Proof,STATIC,10,Sensitivity test, Functioning  ,,10,,2,,,,,,,2,2,0,,,
U-03,Detonator 356mg LZ ,First Proof,STATIC,10,Flash Delivery test,Functioning of Detonator & burning of powder pellet,,10,,2,,,,,,,2,2,0,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,15,Resistance test (Electrical test) ,Resistance,15,15,,,,15,,,,,,,15,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,15,Resistance test (Electrical test) ,Resistance,,65,65,65,,,,,,,,,15,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,5,Flash test ,Firing of primer,,5,,1,1,,,,,,,,0,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,5,Flash test ,Flash Length-254mm,,5,,1,1,,,,,,,,0,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,5,Time to function ,Time in µ second,,3000,3000,3000,,,,,,,,,5,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,5,Time to function ,Mean Time in µ second,,2000,2000,2000,,,,,,,,,5,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,3,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,3,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,3,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,3,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,2,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,2,,,
U-01,Primer Electric 1A/L (Filled) ,First Proof,STATIC ,2,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,2,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,33,Resistance test (Electrical test) ,Resistance,15,15,,,,15,,,,,,,0,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,33,Resistance test (Electrical test) ,Resistance,,65,65,65,,,,,,,,,0,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,10,Flash test ,Firing of primer,,10,,1,1,,,,,,,,0,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,10,Flash test ,Flash Length-254mm,,10,,1,1,,,,,,,,0,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,10,Time to function ,Time in µ second,,3000,3000,3000,,,,,,,,,10,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,10,Time to function ,Mean Time in µ second,,2000,2000,2000,,,,,,,,,10,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,8,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,8,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,8,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,8,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,5,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,5,,,
U-01,Primer Electric 1A/L (Filled) (HEAVY PROOF),First Proof,STATIC,5,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,5,,,
U-01,Primer Electric 1A/L (Empty),First Proof,STATIC,8,Resistance test (Electrical test) ,Resistance,15,15,,,,15,,,,,,,8,,,
U-01,Primer Electric 1A/L (Empty),First Proof,STATIC,8,Resistance test (Electrical test) ,Resistance,,65,65,65,,,,,,,,,8,,,
U-01,Primer Electric 1A/L (Empty),First Proof,STATIC,3,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,3,,,
U-01,Primer Electric 1A/L (Empty),First Proof,STATIC,3,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,3,,,
U-01,Primer Electric 1A/L (Empty),First Proof,STATIC,2,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,2,,,
U-01,Primer Electric 1A/L (Empty),First Proof,STATIC,2,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,2,,,
U-01,Primer Electric 1A/L (Empty) (HEAVY PROOF),First Proof,STATIC,20,Resistance test (Electrical test) ,Resistance,15,15,,,,15,,,,,,,1,,,
U-01,Primer Electric 1A/L (Empty) (HEAVY PROOF),First Proof,STATIC,20,Resistance test (Electrical test) ,Resistance,,65,65,65,,,,,,,,,1,,,
U-01,Primer Electric 1A/L (Empty) (HEAVY PROOF),First Proof,STATIC,5,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,5,,,
U-01,Primer Electric 1A/L (Empty) (HEAVY PROOF),First Proof,STATIC,5,Rough Usage test- (Jolt  test & Drop Test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,5,,,
U-01,Primer Electric 1A/L (Empty) (HEAVY PROOF),First Proof,STATIC,5,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,15,15,,,,15,,,,,,,5,,,
U-01,Primer Electric 1A/L (Empty) (HEAVY PROOF),First Proof,STATIC,5,Rough Usage test- (Vibration test followed by Resistance test ),Resistance,,65,65,65,,,,,,,,,5,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),First Proof,STATIC,13,Jolt test,Sustaining of samples,,13,,1,,,,1,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),First Proof,STATIC,13,Jolt test,Primer resistance ,1,1,,,,1,,,1,,,,13,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),First Proof,STATIC,13,Jolt test,Primer resistance ,,3.6,3.6,3.6,,,3.6,,,,,,13,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),First Proof,STATIC,5,Functioning Delay test after Jolt Test,Delay time  <= 4000 µ second,,5,,1,,,,1,,,,,5,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),First Proof,STATIC,5,Environmental Conditioning test(5 Samples after jolt test),Sustaining of samples,,5,,1,,,,1,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),First Proof,STATIC,8,Water immersion test followed by Flash Test (5 samples after Environment conditioning test and 3 samples after jolt test),Functioning of Primer to ignite cordite by Electrical method samples 04 Nos Length of flash 300mm,,4,,1,,,,1,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),First Proof,STATIC,8,Water immersion test followed by Flash Test(5 samples after Environment conditioning test and 3 samples after jolt test),Functioning of Primer to ignite cordite by Percussion  method samples 04 Nos Length of flash 300mm,,4,,4,,,,1,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),Reproof,STATIC,13,Jolt test,Sustaining of samples,,13,,1,1,,,1,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),Reproof,STATIC,13,Jolt test,Primer resistance ,1,1,,,,1,,,,,,,13,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),Reproof,STATIC,13,Jolt test,Primer resistance ,,3.6,3.6,3.6,,,,,,,,,13,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),Reproof,STATIC,5,Functioning Delay test after Jolt Test,Delay time  <= 4000 µ second,,5,,1,1,,,,,,,,5,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),Reproof,STATIC,5,Environmental Conditioning test(5 Samples after jolt test),Sustaining of samples,,5,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),Reproof,STATIC,8,Water immersion test followed by Flash Test(5 samples after Environment conditioning test and 3 samples after jolt test),Functioning of Primer to ignite cordite by Electrical method samples 04 Nos Length of flash 300mm,,4,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled),Reproof,STATIC,8,Water immersion test followed by Flash Test(5 samples after Environment conditioning test and 3 samples after jolt test),Functioning of Primer to ignite cordite by Percussion  method samples 04 Nos Length of flash 300mm,,4,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled)Pilot Lot,First Proof,STATIC,39,Jolt test,Sustaining of samples,,39,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled)Pilot Lot,First Proof,STATIC,39,Jolt test,Primer resistance,1,1,,,,1,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled)Pilot Lot,First Proof,STATIC,39,Jolt test,Primer resistance,,3.6,3.6,3.6,,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled)Pilot Lot,First Proof,STATIC,13,Functioning Delay test after Jolt Test,Delay time  <= 4000 µ   second,,13,,1,1,,,,,,,,13,,,
U-01,Combination Case Ignition Primer GUV-7 (filled)Pilot Lot,First Proof,STATIC,13,Environmental Conditioning test(13 Samples after jolt test),Sustaining of samples,,13,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled)Pilot Lot,First Proof,STATIC,26,Water immersion test followed by Flash Test(13 samples after Environment conditioning test and 13 samples after jolt test),Functioning of Primer to ignite cordite by Electrical method samples 13 Nos Length of flash 300mm,,13,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (filled)Pilot Lot,First Proof,STATIC,26,Water immersion test followed by Flash Test (13 samples after Environment conditioning test and 13 samples after jolt test),Functioning of Primer to ignite cordite by Electrical method samples 13 Nos Length of flash 300mm,,13,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty),First Proof,STATIC,15,Jolt test,Sustaining of samples,,15,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty),First Proof,STATIC,15,Jolt test,Primer resistance ,1,1,,,,1,,,,,,,15,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty),First Proof,STATIC,15,Jolt test,Primer resistance ,,3.6,3.6,3.6,,,,,,,,,15,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty),First Proof,STATIC,10,Functioning Proof by Percussion Method,Functioned,,10,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty),First Proof,STATIC,5,Delay test (by elecrical method),Delay Time<= 4000 µ second,,5,,1,1,,,,,,,,5,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty) Pilot Lot,First Proof,STATIC,39,Jolt test,Sustaining of samples,,39,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty) Pilot Lot,First Proof,STATIC,39,Jolt test,Primer resistance ,1,1,,,,1,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty) Pilot Lot,First Proof,STATIC,39,Jolt test,Primer resistance ,,3.6,3.6,3.6,,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty) Pilot Lot,First Proof,STATIC,26,Functioning Proof by Percussion Method,Functioned,,26,,1,1,,,,,,,,0,,,
U-01,Combination Case Ignition Primer GUV-7 (Empty) Pilot Lot,First Proof,STATIC,13,Delay test (by elecrical method),Delay Time<= 4000 µ second,,13,,1,1,,,,,,,,13,,,
U-01,PRIMER PERCUSSION Q.F.CARTRIDGE 18A (FILLED),First Proof,STATIC,5,Flash Test,Functioning of Primer,,5,,1,,,,1,,,,,0,,,
U-01,PRIMER PERCUSSION Q.F.CARTRIDGE 18A (FILLED),Reproof,STATIC,5,Flash Test,Functioning of Primer,,5,,1,1,,,,,,,,0,,,
U-01,Primer Sleeve KB-30 (Filled) ,First Proof,STATIC,25,Jolt test,Sustaining of samples,,25,,1,1,,,,,,,,0,,,
U-01,Primer Sleeve KB-30 (Filled) ,First Proof,STATIC,10,Functioning Test at normal temperature  (25± 10) °  ,Functioned,,10,,1,1,,,,,,,,0,,,
U-01,Primer Sleeve KB-30 (Filled) ,First Proof,STATIC,10,Checking  of maximum Pressure at normal temperature  (25± 10) °  , Pressure :  >= 90 kgf/cmsq  &  <= 230 kgf/cmsq ,,10,,1,1,,,,,,,,10,,,
U-01,Primer Sleeve KB-30 (Filled) ,First Proof,STATIC,10,Checking of time interval from the moment of impact on striker to the start of rising  of Pressure curve : T1 (at  normal temperature  (25± 10) °  C ),Time T1  : >=300µs  & <=1000 µs,,10,,1,1,,,,,,,,10,,,
U-01,Primer Sleeve KB-30 (Filled) ,First Proof,STATIC,10,Checking of Time  interval from start of rising  of the Pressure curve to the moment of attending the maximum  : T2 (at normal temperature  (25± 10) ° C)  ,Time T2 : >= 60   µs  & <= 500  µs,,10,,1,1,,,,,,,,10,,,
U-01,Primer Sleeve KB-30 (Filled) ,First Proof,STATIC,10,Functioning Test at temperature +60 °  C,Functioned,,10,,1,1,,,,,,,,0,,,
U-01,Primer Sleeve KB-30 (Filled) ,First Proof,STATIC,10,Checking  of maximum Pressure at temperature +60°  C, Pressure : >= 90 kgf/cmsq  &  <= 230 kgf/cmsq ,,10,,1,1,,,,,,,,10,,,
